Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Station_Phone,EV_Network,ID,Open_Date,EV_Connector_Types,Access_Code
ELEC,City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,360-491-3214,Non-Networked,33351,2018-01-15,J1772,public
ELEC,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,206-787-5388,Non-Networked,33717,2010-03-01,NEMA520,public
ELEC,Haggen Food & Pharmacy,1313 Cooper Point Rd SW,Olympia,WA,98502,360-754-1428,Non-Networked,35337,2009-08-15,NEMA520,public
ELEC,Avista Corp,1411 E Mission Ave,Spokane,WA,99252,509-489-0500,Non-Networked,35620,2010-04-15,J1772 NEMA520,public
ELEC,Steam Plant Grill,159 S Lincoln St,Spokane,WA,99201,509-777-3900,Non-Networked,35621,2010-04-15,J1772,public
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,888-758-4389,ChargePoint Network,37181,2010-12-15,J1772,public
ELEC,Group Health Olympia Medical Center,700 Lilly Rd,Olympia,WA,98506,360-923-7670,Non-Networked,37664,2008-01-15,NEMA520,public
ELEC,The Evergreen State College,2700 Evergreen Pkwy NW,Olympia,WA,98505,360-867-6352,Non-Networked,37673,2009-12-15,J1772 NEMA520,public
ELEC,Washington Department of Labor & Industries - Department of Health - Department of Transportation,243 Israel Rd SE,Tumwater,WA,98501,360-236-3070,Non-Networked,37677,2008-01-15,J1772,public
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,888-758-4389,ChargePoint Network,38082,2008-02-15,J1772,public
ELEC,King County - King County Van Distribution Center,18655 NE Union Hill Rd,Redmond,WA,98052,NULL,Non-Networked,38083,2011-07-15,J1772,private
ELEC,UWB CASCADIA CC NORTH DUAL 1,18500 Campus Way NE,Bothell,WA,98011,888-758-4389,ChargePoint Network,38952,2011-03-15,J1772,public
ELEC,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,888-758-4389,ChargePoint Network,38959,2011-03-15,J1772,public
ELEC,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,888-758-4389,ChargePoint Network,38966,2011-03-15,J1772,public
ELEC,WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,888-758-4389,ChargePoint Network,38976,2011-03-15,J1772,public
ELEC,Rairdon's Nissan - Auburn,713 35th St NE,Auburn,WA,98002,NULL,Non-Networked,39776,2011-03-15,J1772,private
ELEC,Bellingham Nissan,1516 Iowa St,Bellingham,WA,98229,360-733-7300,Non-Networked,39778,2011-03-15,CHADEMO J1772,public
ELEC,Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,360-373-6300,Non-Networked,39779,2011-03-15,J1772,public
ELEC,Burien Nissan,16042 1st Ave S,Burien,WA,98148,206-242-7070,Non-Networked,39780,2011-03-15,CHADEMO J1772,public
ELEC,Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,NULL,Non-Networked,39782,2011-03-15,J1772,public
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,Everett,WA,98204,425-347-5763,Non-Networked,39783,2011-03-15,J1772,public
ELEC,Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,360-352-8558,Non-Networked,39786,2011-03-15,J1772,public
ELEC,Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,509-545-3000,Non-Networked,39787,2011-03-15,J1772,public
ELEC,Dan Wilder Nissan,53 Jetta Way,Port Angeles,WA,98362,360-452-9268,Non-Networked,39788,2011-03-15,CHADEMO J1772,public
ELEC,Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,253-848-4507,Non-Networked,39789,2011-03-15,CHADEMO J1772,public
ELEC,Younker Nissan,3401 E Valley Rd,Renton,WA,98058,NULL,Non-Networked,39791,2011-03-15,CHADEMO J1772,public
ELEC,Wendle Nissan,9000 N Division St,Spokane,WA,99218,509-468-9000,Non-Networked,39795,2011-03-15,J1772,public
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,Spokane Valley,WA,99212,509-924-6242,Non-Networked,39796,2011-03-15,CHADEMO J1772,public
ELEC,Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,253-473-6200,Non-Networked,39797,2011-03-15,J1772,public
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,360-892-9004,Non-Networked,39798,2011-03-15,J1772,public
ELEC,O'Brien Nissan,1395 Dalles Military Rd,Walla Walla,WA,99362,509-529-7000,Non-Networked,39799,2011-03-15,J1772,public
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,Bellevue,WA,98004,888-758-4389,ChargePoint Network,40383,2011-05-15,J1772,public
ELEC,KRC SKYLINE SKYLINE #1,10900 NE 4th St,Bellevue,WA,98004,888-758-4389,ChargePoint Network,40384,2011-05-15,J1772,public
ELEC,Snohomish County - Campus Garage,3000 Rockefeller Ave,Everett,WA,98201,503-892-7345,Non-Networked,40772,2011-08-01,J1772,public
ELEC,Caplan's Rainbow Parking,214 Columbia St,Seattle,WA,98104,206-682-2991,Non-Networked,41579,2011-10-01,J1772,public
ELEC,CITY OF SEATAC CITY HALL 1,4800 S 188th St,SeaTac,WA,98188,888-758-4389,ChargePoint Network,41776,2011-12-31,J1772,public
ELEC,Puget Sound Energy,3130 S 38th St,Tacoma,WA,98409,NULL,Non-Networked,41779,2011-10-15,J1772,private
ELEC,TPU TPU HQ #6,3628 S 35th St,Tacoma,WA,98409,888-758-4389,ChargePoint Network,41780,2011-10-15,J1772,public
ELEC,City of Tacoma - Municipal Building,747 Market St,Tacoma,WA,98402,NULL,Non-Networked,42044,2011-11-30,J1772,private
ELEC,BELLEVUE SBCC #2,14509 SE Newport Way,Bellevue,WA,98006,888-758-4389,ChargePoint Network,42228,2011-11-15,J1772,public
ELEC,EASTGATE OFFICE EASTGATE DUAL 1,15395 SE 30th Pl,Bellevue,WA,98007,888-758-4389,ChargePoint Network,42229,2011-11-15,J1772,public
ELEC,SAMMAMISH GARAGE 1,801 228th Ave SE,Sammamish,WA,98075,888-758-4389,ChargePoint Network,42240,2011-11-15,J1772,public
ELEC,IBEW LOCAL 46 IBEW LOCAL 46 1,19802 62nd Ave S,Kent,WA,98032,888-758-4389,ChargePoint Network,43299,2012-01-15,J1772,public
ELEC,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,Renton,WA,98055,888-758-4389,ChargePoint Network,43303,2012-01-15,J1772,public
ELEC,VALLEY MED CTR N GARAGE #1,4033 Talbot Rd S,Renton,WA,98055,888-758-4389,ChargePoint Network,43305,2012-01-15,J1772,public
ELEC,City of Renton - City Shops,3555 NE 2nd St,Renton,WA,98056,NULL,Non-Networked,43795,2017-01-12,J1772,private
ELEC,City of Renton - City Hall,1055 S Grady Way,Renton,WA,98057,425-430-6600,Non-Networked,43796,2017-01-12,J1772,public
ELEC,PW PARKING A ST GARAGE 01,110 S 10th St,Tacoma,WA,98402,888-758-4389,ChargePoint Network,43804,2012-01-31,J1772,public
ELEC,PW PARKING GLASS MUSEUM 01,1801 Dock St,Tacoma,WA,98402,888-758-4389,ChargePoint Network,43806,2012-01-31,J1772,public
ELEC,Pierce County - Annex Lot,2401 S 35th St,Tacoma,WA,98409,NULL,Non-Networked,43808,2011-12-01,J1772,public
ELEC,Pierce County - City Building,930 Tacoma Ave S,Tacoma,WA,98402,253-798-6611,SemaCharge Network,43809,2011-12-01,J1772,public
ELEC,Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,NULL,Non-Networked,44136,2011-03-15,J1772,private
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,Everett,WA,98204,425-347-5763,Non-Networked,44137,2011-03-15,J1772,private
ELEC,Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,360-352-8558,Non-Networked,44147,2011-03-15,J1772,private
ELEC,Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,509-545-3000,Non-Networked,44148,2011-03-15,J1772,private
ELEC,Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,253-848-4507,Non-Networked,44150,2011-03-15,J1772,private
ELEC,Younker Nissan,3401 E Valley Rd,Renton,WA,98058,NULL,Non-Networked,44151,2011-03-15,J1772,private
ELEC,City of Seattle - Central Library,1000 4th Ave,Seattle,WA,98104,206-386-4636,Non-Networked,44153,2011-12-01,J1772,public
ELEC,City of Seattle - Charles Street,805 S Charles St,Seattle,WA,98134,NULL,Non-Networked,44154,2011-12-31,J1772,private
ELEC,City of Seattle - Haller Lake,12600 Stone Ave N,Seattle,WA,98133,NULL,Non-Networked,44155,2011-12-31,J1772,private
